dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,Lat,Lon
서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동),100세건강약국,02-445-1460,2000,900,2000,900,2000,900,2000,900,2000,900,1700,900,C1109587,63,76,1,37.46604487,127.1013669
서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동),1층엔약국,02-518-3014,2000,800,2000,800,2000,800,2000,800,2000,800,1800,900,C1108823,60,35,2,37.5174747,127.0195102
서울특별시 강남구 선릉로 324, SH타워 5층 (대치동),5층약국,02-508-5030,1930,830,2030,830,1930,830,2030,830,2030,830,1600,830,C1109562,62,5,3,37.49853038,127.0520942
서울특별시 강남구 테헤란로78길 8,(대치동),7층애약국,02-567-0409,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,C1100086,61,94,4,37.50562628,127.0552145
서울특별시 강남구 일원로 53 (일원동) ,소림빌딩 1층,E-삼성약국,02-3412-1254,1900,900,1900,900,1900,900,1900,900,1900,900,1300,900,C1104799,63,43,5,37.489263,127.0818109
서울특별시 강남구 압구정로 108 (신사동) 1층 7호,2014.03 개업,가로수길약국,02-518-4201,2000,930,2000,930,2000,930,2000,930,2000,930,1800,930,C1106934,60,28,6,37.52291865,127.0205796
서울특별시 강남구 학동로 413, 청담빌딩 2층 (청담동),가온약국,02-545-0546,1830,830,1830,830,1830,830,1830,830,1830,830,1400,830,C1108049,60,69,7,37.51817613,127.0451744
서울특별시 강남구 압구정로 336  (신사동),감마약국,감마약국,02-547-8990,2100,900,2100,900,2100,900,2100,900,2100,900,2000,900,C1102142,60,18,8,37.52802105,127.0384784
서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동),강남구청역약국,02-511-6252,2100,800,2100,800,2100,800,2100,800,2100,800,1700,900,C1109043,60,99,9,37.51718924,127.0413014
서울특별시 강남구 남부순환로 2615 (도곡동) 극동스타클래스208호,강남굿모닝약국,강남굿모닝약국,02-529-4155,2000,940,2000,940,2000,940,2000,940,2000,940,2000,940,C1107162,62,67,10,37.4851917,127.0358695
서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동),1층천호약국,02-478-1178,1930,1000,1930,1000,1930,1000,1930,1000,1930,1000,1530,1000,C1108656,53,78,1,37.5380514,127.123789
서울특별시 강동구 진황도로 179, 1층 (둔촌동),7형제약국,02-478-9855,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,C1102839,53,65,2,37.52939624,127.1429696
서울특별시 강동구 동남로 891, 현대델리안오피스텔 102호 (명일동),가까운단골약국,02-441-8855,1900,900,1900,900,1900,900,1900,900,1900,900,1330,900,C1107902,52,69,3,37.55331812,127.1559484
서울특별시 강동구 양재대로 1576, 삼익빌딩 1층 (명일동),가까운사랑약국,02-428-4428,2030,900,2030,900,2030,900,2030,900,2030,900,1800,900,C1108593,52,96,4,37.54616201,127.1434543
서울특별시 강동구 양재대로 1355,강남약국,강남약국,02-486-7823,2100,900,2100,900,2100,900,2100,900,2100,900,1900,900,C1101935,54,4,5,37.5276135,127.135744
서울특별시 강동구 양재대로 1465, 마루홈타운 107호 (길동),강동더본약국,02-477-8280,2030,830,2030,830,2030,830,2030,830,2030,830,1930,830,C1108720,53,53,6,37.53683992,127.1393143
서울특별시 강동구 올림픽로 686,천호동친구병원(구강돌가톨릭병원)정문옆,강동메디칼약국,02-483-0108,2100,830,2100,830,2100,830,2100,830,2100,830,1300,900,C1101883,53,27,7,37.54250239,127.1250257
서울특별시 강동구 올림픽로 782,강동미래약국,강동미래약국,02-442-6263,1930,900,1930,900,1930,900,1930,900,1930,900,1700,900,C1101884,52,64,8,37.550936,127.1281132
서울특별시 강동구 성내로 40  (성내동),강동보건약국,강동보건약국,02-488-4100,1900,900,1900,900,1900,900,1900,900,1900,900,1500,900,C1101885,53,99,9,37.52881493,127.1246185
"서울특별시 강동구 동남로73길 13, 1층 (명일동)",강동새경희약국,02-3428-0100,1900,900,1900,900,1900,900,1900,900,1900,900,1600,900,C1108330,52,69,10,37.55274212,127.1554628
"서울특별시 강북구 도봉로 339, 1층 (수유동),7번약국,02-904-7773,2500,900,2500,900,2500,900,2500,900,2500,900,2500,900,C1108353,10,74,1,37.6382557,127.0254877
"서울특별시 강북구 솔샘로 184, 에스케이북한산시티 112~113호 (미아동)",SK온누리약국,02-983-8895,2100,830,2100,830,2100,830,2100,830,2100,830,1700,830,C1103262,11,92,2,37.61995692,127.0128495
서울특별시 강북구 한천로132길 28 (번동),가까운현대약국,가까운현대약국,02-6405-5452,2100,900,2100,900,2100,900,2100,900,2100,900,1500,900,C1108936,10,58,3,37.63997965,127.0293418
서울특별시 강북구 오패산로52길 39 (미아동),미아삼거리역마을버스5분거리,가족사랑약국,02-945-3720,1700,900,1700,900,1700,900,1700,900,1700,900,1230,900,C1103520,11,52,4,37.6246969,127.0320793
"서울특별시 강북구 도봉로49길 8, 1층 (미아동)",강북김약국,02-980-1717,2000,900,2000,900,2000,900,2000,900,2000,900,1500,900,C1108680,11,70,5,37.62527555,127.0259544
서울특별시 강북구 도봉로 79 (미아동),삼양사거리에서삼양동방면,강북다모아약국,02-945-2088,1900,900,1900,900,1900,900,1900,900,1900,900,1600,900,C1103266,12,5,6,37.61631842,127.0295433
